id@title@content@regular price@height-product@load@rigidity-product@set-of-springs@size-product@image@categories
55@Kitti (Китти)@@13921@@@@@70x195@@
55@Kitti (Китти)@@14278@@@@@70x200@@
55@Kitti (Китти)@@13054@@@@@80x160@@
55@Kitti (Китти)@@15502@@@@@80x190@@
55@Kitti (Китти)@@15910@@@@@80x195@@
55@Kitti (Китти)@@16318@@@@@80x200@@
55@Kitti (Китти)@@14686@@@@@90x160@@
55@Kitti (Китти)@@17440@@@@@90x190@@
55@Kitti (Китти)@@17899@@@@@90x195@@
55@Kitti (Китти)@@18358@@@@@90x200@@
55@Kitti (Китти)@@19581@@@@@120x160@@
55@Kitti (Китти)@@23253@@@@@120x190@@
55@Kitti (Китти)@@23865@@@@@120x195@@
55@Kitti (Китти)@@24477@@@@@120x200@@
55@Kitti (Китти)@@22845@@@@@140x160@@
55@Kitti (Китти)@@27128@@@@@140x190@@
55@Kitti (Китти)@@27842@@@@@140x195@@
55@Kitti (Китти)@@28556@@@@@140x200@@
56@Lakky (Лакки)@<div id="description" class="box js-box">  <p>LINEAFLEX предлагает серию детских матрасов.<br /><br />Вся продукция сертифицирована и соответствует всем санитарно-гигиеническим стандартам качества.</p>  <p>Матрас Lakky на основе пружинного блока Боннель обеспечит физиологически правильную поддержку. Жесткость матраса усиливает термофиксированный иглопробивной войлок, а холлофайбер обеспечит комфорт спального места.</p>  <p>Рекомендуемая нагрузка до 50 кг.</p>          </div><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="150"><img src="http://www.lineaflex.ru/files/project_2016/bonnel.png" alt="bonnel" width="123" height="123" /></td>  <td align="left">В настоящее время пружинный блок Боннель &ndash; это система, состоящая из пятивитковых биконусных пружин диаметром 8 см из закаленной проволоки диаметром 2,2 мм. Плотность блока составляет 120 пр./м2. Между собой пружины соединены спиралями, которые обеспечивают относительную независимость пружин. В детских матрасах используется блок высотой 8см.</td>  </tr>  </tbody>  </table><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="150"><img src="http://www.lineaflex.ru/files/project_2016/voylok.png" alt="voylok" width="123" height="123" /></td>  <td align="left">Термофиксированный войлок и холлофайбер в сочетании с пружинным блоком Боннель обеспечат высокий уровень ортпедичности при сохранении комфорта. Очень важно, что детские матрасы, выполненные из этих материалов, экологически чистые.</td>  </tr>  </tbody>  </table>@@12@50 кг@мягкий@"зависимый"@@http://www.lineaflex.ru/files/project_2016/good/1352291883_1_mini5.jpg@catalog>mattresses-children>linea-bambina
56@Lakky (Лакки)@@2292@@@@@60x120@@
56@Lakky (Лакки)@@3056@@@@@60x160@@
56@Lakky (Лакки)@@3629@@@@@60x190@@
56@Lakky (Лакки)@@3724@@@@@60x195@@
56@Lakky (Лакки)@@3820@@@@@60x200@@
56@Lakky (Лакки)@@2674@@@@@70x120@@
56@Lakky (Лакки)@@3120@@@@@70x140@@
56@Lakky (Лакки)@@3565@@@@@70x160@@
56@Lakky (Лакки)@@4234@@@@@70x190@@
56@Lakky (Лакки)@@4345@@@@@70x195@@
56@Lakky (Лакки)@@4456@@@@@70x200@@
56@Lakky (Лакки)@@4074@@@@@80x160@@
56@Lakky (Лакки)@@4838@@@@@80x190@@
56@Lakky (Лакки)@@4966@@@@@80x195@@
56@Lakky (Лакки)@@5093@@@@@80x200@@
56@Lakky (Лакки)@@4584@@@@@90x160@@
56@Lakky (Лакки)@@5443@@@@@90x190@@
56@Lakky (Лакки)@@5586@@@@@90x195@@
56@Lakky (Лакки)@@5730@@@@@90x200@@
56@Lakky (Лакки)@@6112@@@@@120x160@@
56@Lakky (Лакки)@@7258@@@@@120x190@@
56@Lakky (Лакки)@@7449@@@@@120x195@@
56@Lakky (Лакки)@@7640@@@@@120x200@@
56@Lakky (Лакки)@@7130@@@@@140x160@@
56@Lakky (Лакки)@@8467@@@@@140x190@@
56@Lakky (Лакки)@@8690@@@@@140x195@@
56@Lakky (Лакки)@@8913@@@@@140x200@@
57@Polly (Полли)@<div id="description" class="box js-box">  <p>LINEAFLEX предлагает серию детских матрасов.<br /><br />Вся продукция сертифицирована и соответствует всем санитарно-гигиеническим стандартам качества.&nbsp;</p>  <p>Беспружинный детский матрас с великолепными анатомическими свойствами, благодаря использованию кокосовой койры и HOLCON</p>  <p>Рекомендуемая нагрузка до 50 кг.</p>  <p></p>  <p>&nbsp;</p>          </div><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr>  <td><img src="http://www.lineaflex.ru/files/project_2016/kokos.png" alt="kokos" width="123" height="123" />&nbsp;&nbsp;</td>  <td>&nbsp;<img src="http://www.lineaflex.ru/files/project_2016/strutof.png" alt="strutof" width="123" height="123" /></td>  <td>В основе - жесткий кокос, который обеспечивает ортопедтческую поддержку. Струттофайбер, сохраняя ортопедичность матраса, обеспечивает высокий уровень комфорта.</td>  </tr>  </tbody>  </table><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr>  <td><img src="http://www.lineaflex.ru/files/project_2016/hlopok.png" alt="kokos" width="123" height="123" />&nbsp;&nbsp;</td>  <td>&nbsp;<img src="http://www.lineaflex.ru/files/project_2016/t1.png" alt="strutof" width="123" height="123" /></td>  <td>Хлопковое волокно гарантирует свежесть во время сна. Специальные включения в структуру ткани, делают его мягким, шелковистым на ощупь, более прочным - повышают комфорт. Хлопковое волокно обладает хорошей совместимостью с кожей человека. Являясь натуральным материалом, обладает такими свойствами как антиаллергенность, антистатичность.</td>  </tr>  </tbody>  </table>@@10@50 кг@средняя@"беспружинный"@@http://www.lineaflex.ru/files/project_2016/good/1352292090_1_mini5.jpg@catalog>mattresses-children>linea-bambina
57@Polly (Полли)@@3777@@@@@60x120@@
57@Polly (Полли)@@5036@@@@@60x160@@
57@Polly (Полли)@@5980@@@@@60x190@@
57@Polly (Полли)@@6137@@@@@60x195@@
57@Polly (Полли)@@6295@@@@@60x200@@
57@Polly (Полли)@@4406@@@@@70x120@@
57@Polly (Полли)@@5141@@@@@70x140@@
57@Polly (Полли)@@5875@@@@@70x160@@
57@Polly (Полли)@@6977@@@@@70x190@@
57@Polly (Полли)@@7160@@@@@70x195@@
57@Polly (Полли)@@7344@@@@@70x200@@
57@Polly (Полли)@@6714@@@@@80x160@@
57@Polly (Полли)@@7973@@@@@80x190@@
57@Polly (Полли)@@8183@@@@@80x195@@
57@Polly (Полли)@@8393@@@@@80x200@@
57@Polly (Полли)@@7554@@@@@90x160@@
57@Polly (Полли)@@8970@@@@@90x190@@
57@Polly (Полли)@@9206@@@@@90x195@@
57@Polly (Полли)@@9442@@@@@90x200@@
57@Polly (Полли)@@10072@@@@@120x160@@
57@Polly (Полли)@@11960@@@@@120x190@@
57@Polly (Полли)@@12275@@@@@120x195@@
57@Polly (Полли)@@12590@@@@@120x200@@
57@Polly (Полли)@@11750@@@@@140x160@@
57@Polly (Полли)@@13953@@@@@140x190@@
57@Polly (Полли)@@14321@@@@@140x195@@
57@Polly (Полли)@@14688@@@@@140x200@@
